+===================================+==================================+======================================================================+
| Launch Setup Clock                | Launch Hold Clock                | Pin                                                                  |
+===================================+==================================+======================================================================+
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/vga_0/U0/inputSyncVSInst/stage2Reg_reg[0]_srl2/D    |
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/vgaDMA_0/U0/inputSyncInst/stage2Reg_reg[1]_srl2/D   |
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/vgaDMA_0/U0/inputSyncInst/stage2Reg_reg[2]_srl2/D   |
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/rootRegs_0/U0/inputSyncInst/stage2Reg_reg[0]_srl2/D |
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/vgaDMA_0/U0/inputSyncInst/stage2Reg_reg[0]_srl2/D   |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_blue_reg[6]/D           |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_blue_reg[0]/D           |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_blue_reg[1]/D           |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_green_reg[4]/D          |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_blue_reg[7]/D           |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_blue_reg[2]/D           |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_red_reg[2]/D            |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_red_reg[4]/D            |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_green_reg[2]/D          |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_red_reg[7]/D            |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_green_reg[1]/D          |
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_blue_reg[3]/D           |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_red_reg[6]/D            |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_green_reg[5]/D          |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_green_reg[7]/D          |
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_red_reg[3]/D            |
| clk320_tangerineNX_Z7_clk_wiz_0_0 | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_green_reg[3]/D          |
| clk64_tangerineNX_Z7_clk_wiz_0_0  | clk64_tangerineNX_Z7_clk_wiz_0_0 | tangerineNX_Z7_i/hdmiOut_0/U0/dvidInst/shift_blue_reg[4]/D           |
